product_category,mean_compound,most_common_sentiment,number_of_products,total_reviews,total_ratings
Home&Kitchen|CraftMaterials|PaintingMaterials,0.9983,positive,1,13,37
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,0.9926333333333334,positive,3,27,127
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,0.9972,positive,1,8,37
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",0.9983,positive,1,6,28
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",0.9993500000000001,positive,4,26,148
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",0.9827909090909092,positive,11,88,462
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",0.9792666666666667,positive,3,24,131
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",0.9997,positive,1,8,42
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",0.997,positive,2,16,75
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",0.6546666666666666,positive,3,16,83
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",0.9821,positive,1,8,39
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",0.9847,positive,2,16,94
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",0.742055,positive,20,136,741
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",0.536725,positive,20,103,540
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",-0.0941,negative,2,8,51
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",0.9916,positive,2,15,100
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",0.9037999999999999,positive,9,76,400
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",0.8072391304347827,positive,23,152,795
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",0.8534583333333333,positive,12,96,553
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,0.9289499999999999,positive,2,16,99
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,0.9963,positive,1,8,42
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,0.9779,positive,13,111,532
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,0.9973,positive,1,13,53
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",0.9987,positive,1,13,52
