month,product_category,mean_price_elasticity,sum_qty,sum_price,mean_price
2016-11,Electronics,-5.617826205541192,1619,453.600373015873,15.120012433862433
2016-11,Gift Cards,nan,8,183.33333333333334,45.833333333333336
2016-11,Headgear,-18.25610203002305,290,542.6666666666666,19.38095238095238
2016-11,Lifestyle,-4.439357741486026,1717,162.20154924242425,5.593156870428422
2016-11,Notebooks & Journals,-8.391272198080092,2115,197.05731962481963,7.29841924536369
2016-11,Office,-17.64660050364131,8147,88.45861639454233,2.9486205464847446
2016-12,Accessories,nan,56,103.65333333333334,5.758518518518518
2016-12,Apparel,2.3451458401896677,2270,975.5600105739458,31.469677760449862
2016-12,Bags,-25.288283465313352,1289,866.1963294760794,29.868838947451014
2016-12,Drinkware,-11.367931339544532,3767,361.41717527756043,11.65861855734066
2016-12,Electronics,0.37970169247478475,1451,428.6956427045177,15.877616396463619
